food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
"Supreme Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,107,260,110,12,30,700,27,1,4,12,
"Pepperoni & Mushroom Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,92,210,70,8,20,570,26,1,4,10,
"Italian Sausage & Red Onion Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,100,250,90,10,25,610,28,1,4,11,
"Ham & Pineapple Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,92,210,60,6,20,570,28,1,5,9,
"Veggie Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,103,200,60,7,15,550,27,2,4,9,
"Meat Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,106,310,140,16,40,890,26,1,4,14,
"Pepperoni Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,96,280,120,13,35,790,27,1,4,13,
"Hawaiian Luau Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99,99,240,90,9,25,670,28,1,5,11,
"Dan's Original Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,104,260,110,12,30,680,27,1,4,12,
"Triple Meat Italiano Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,96,260,110,12,30,750,26,1,4,12,
"Spicy Sicilian Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,100,250,100,11,25,760,27,2,4,11,
"Ultimate Cheese Lover's Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99,83,250,100,11,30,620,26,1,3,11,
"Chicken, Red Onion & Green Pepper, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,95,180,40,4.5,20,510,23,1,5,11,
"Chicken, Mushrooms & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,93,170,40,4.5,20,720,22,1,4,11,
"Ham, Red Onion & Mushroom, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,84,160,40,4.5,15,550,23,1,4,8,
"Ham, Pineapple & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,84,160,40,4.5,15,550,24,1,6,7,
"Green Pepper, Red Onion & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,89,150,35,4,10,400,24,2,5,6,
"Diced Red Tomato, Mushroom & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99,87,150,35,4,10,610,23,2,4,6,
"Cheese Only, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",13.99,129,360,150,17,35,740,37,2,3,15,
"Pepperoni, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",15.99,128,380,170,19,35,840,36,2,3,15,
"Supreme, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99,158,420,200,23,45,920,38,2,3,17,
